Kod,Ders,Eğitmen(ler),Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm sınırlaması,CRN,Term
FIZ 284E,Classical Mechanics I,Mehmet Nazmi Postacıoğlu,Pazartesi Cuma,1030/1229 1030/1229,FEB FEB,61.0,99,FIZ FIZE,21407.0,2021 - 2022 Bahar Dönemi
MAT 104E,Mathematics II,Sevgi Harman,Çarşamba Perşembe,0830/1129 1230/1429,,101.0,99,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,10828.0,2020 - 2021 Güz Dönemi
MAT 104E,Mathematics II,Sultan Erdoğan Demir,Çarşamba Perşembe,0830/1129 1230/1429,,101.0,99,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,10824.0,2020 - 2021 Güz Dönemi
MAT 104,Matematik II,Mehmet Ali Karaca,Pazartesi Salı,0830/1129 1130/1329,,95.0,99,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEFM JEO KIM KMM KMMM MAD MAK MAKM MATM MET MKNM MTO PET PETM TEK UCK UCKM UZB UZBM,20787.0,2020 - 2021 Bahar Dönemi
MAT 210,Mühendislik Matematiği,Güler Arsan,Çarşamba Perşembe,0830/1029 1230/1429,,99.0,99,BIO BLG CEV CHZ DUI EHB ELE ELH ELK END FIZ GEO GMI INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,10609.0,2020 - 2021 Güz Dönemi
FIZ 284E,Classical Mechanics I,Vakıf Kemal Önemli,Pazartesi Cuma,1030/1229 1030/1229,,63.0,99,FIZ FIZE FIZM,14233.0,2021 - 2022 Güz Dönemi
FIZ 284E,Classical Mechanics I,Mehmet Cem Güçlü,Pazartesi Cuma,1030/1229 1030/1229,FEB FEB,96.0,99,FIZ FIZE FIZM,25153.0,2019 - 2020 Bahar Dönemi
FIZ 284E,Classical Mechanics I,Mehmet Cem Güçlü,Pazartesi Cuma,1030/1229 1030/1229,,77.0,99,FIZ FIZE FIZM,20969.0,2020 - 2021 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Onur Ferhanoğlu,Pazartesi,1230/1529,,100.0,98.0,EHB EHBE ELE ELH ELK ELKE TEL,25202.0,2020 - 2021 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Müştak Erhan Yalçın,Pazartesi,1230/1529,,102.0,98.0,EHB EHBE ELE ELH ELK ELKE TEL,22595.0,2020 - 2021 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Metin Hüner,Pazartesi,1230/1529,,99.0,98.0,EHB EHBE ELE ELH ELK ELKE TEL,25203.0,2020 - 2021 Bahar Dönemi
MAT 271E,Probability and Statistics,Burcu Özsoy,Cuma,1430/1729,DZB,98.0,98,DUI DUIE GMI GMIE,21977.0,2018 - 2019 Bahar Dönemi
MAT 210,Mühendislik Matematiği,Evren Tanrıöver,Pazartesi Salı,1230/1429 1530/1729,,100.0,98,BIO BLG CEV CHZ DUI EHB ELE ELH ELK END FIZ GEO GMI INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,10605.0,2020 - 2021 Güz Dönemi
MAT 210,Mühendislik Matematiği,Şenay Pasinlioğlu,Pazartesi Salı,1230/1429 1530/1729,,98.0,98,BIO BLG CEV CHZ DUI EHB ELE ELH ELK END FIZ GEO GMI INS JDF JEF JEFM JEO KIM MAD MATM MET MKNM MTO PET TEK TEL UCK UCKM UZB UZBM,15440.0,2020 - 2021 Güz Dönemi
EHB 212,Elektromagnetik Alanlara Giriş,Ali Yapar,Çarşamba,0830/1129,,99.0,97.0,EHB ELE ELH ELK KOM TEL,22505.0,2020 - 2021 Bahar Dönemi
EHB 212,Elektromagnetik Alanlara Giriş,Selçuk Paker,Çarşamba,0830/1129,,96.0,97.0,EHB ELE ELH ELK KOM TEL,25196.0,2020 - 2021 Bahar Dönemi
MAT 103E,Mathematics I,Levent Bilir,Çarşamba Perşembe,1130/1329 0830/1129,,92.0,97,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM YZVE,20741.0,2020 - 2021 Bahar Dönemi
MAT 103E,Mathematics I,Nurhan Çolakoğlu,Pazartesi Salı,1230/1429 1430/1729,MED MED,98.0,97,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20553.0,2018 - 2019 Bahar Dönemi
MAT 210E,Engineering Mathematics,Ayşegül Tepe,Perşembe Perşembe,0830/1029 1230/1429,MED MED,97.0,97,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME MAD MADE MATM MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20714.0,2018 - 2019 Bahar Dönemi
FIZ 101,Fizik I,Banu Tansel Büyükçelebi,Pazartesi,1430/1729,DZB,94.0,97,DUI GMI,11643.0,2021 - 2022 Güz Dönemi
END 312,Mühendislik Ekonomisi,İrem Uçal Sarı,Çarşamba,0930/1229,ISB,97.0,97,END,22598.0,2018 - 2019 Bahar Dönemi
MAT 103E,Mathematics I,Nurettin Cenk Turgay,Pazartesi Salı,1230/1429 1430/1729,EEB EEB,97.0,97,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20556.0,2018 - 2019 Bahar Dönemi
MAT 103E,Mathematics I,Sultan Erdoğan Demir,Pazartesi Salı,1230/1429 1430/1729,MED MED,98.0,97,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20551.0,2018 - 2019 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Salı Salı,1430/1529 1530/1729,,95.0,96.0,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20532.0,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Salı Salı,1430/1529 1530/1729,,96.0,96.0,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20534.0,2021 - 2022 Bahar Dönemi
EHB 212,Elektromagnetik Alanlara Giriş,Funda Akleman Yapar,Çarşamba,0830/1129,,96.0,96.0,EHB ELE ELH ELK KOM TEL,25197.0,2020 - 2021 Bahar Dönemi
MAT 210E,Engineering Mathematics,Seher Melike Aydoğan,Perşembe Perşembe,0830/1029 1230/1429,GDB MED,96.0,96,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME MAD MADE MATM MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20715.0,2018 - 2019 Bahar Dönemi
MAT 103E,Mathematics I,Seher Melike Aydoğan,Çarşamba Perşembe,1130/1329 0830/1129,,96.0,96,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM YZVE,20742.0,2020 - 2021 Bahar Dönemi
KIM 101E,General Chemistry I,Yasin Arslanoğlu,Pazartesi,1130/1429,DZB,96.0,96,DUI GMI GMIE,11652.0,2021 - 2022 Güz Dönemi
END 308E,Quality Engineering,Seda Yanık,Perşembe,1130/1329,FEB,101.0,96,ENDE,22264.0,2019 - 2020 Bahar Dönemi
FIZ 101E,Physics I,İbrahim Türhan,Cuma,0830/1129,,76.0,96,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MAT MATE MET METE MKNM MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM YZVE,20206.0,2020 - 2021 Bahar Dönemi
MAT 103E,Mathematics I,Aybike Özer,Pazartesi Salı,1230/1429 1430/1729,FEB MDB,98.0,96,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,25483.0,2018 - 2019 Bahar Dönemi
MAT 103E,Mathematics I,Gülçin Çivi,Çarşamba Perşembe,1130/1329 0830/1129,,96.0,96,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM YZVE,20743.0,2020 - 2021 Bahar Dönemi
EHB 322E,Digital Electronic Circuits,Mustafa Altun,Perşembe,0830/1129,,95.0,95.0,BLG BLGE EHB EHBE ELE ELH,22626.0,2020 - 2021 Bahar Dönemi
EHB 206E,Signal Processing&Linear Syst.,Ender Mete Ekşioğlu,Perşembe,1230/1529,,95.0,95.0,EHB EHBE ELE ELH TEL,22484.0,2020 - 2021 Bahar Dönemi
EHB 206E,Signal Processing&Linear Syst.,Tayfun Akgül,Perşembe,1230/1529,,76.0,95.0,EHB EHBE ELE ELH TEL,22489.0,2020 - 2021 Bahar Dönemi
BLG 312,Bilgisayar İşletim Sistemleri,Takuhi Nadia Erdoğan,Çarşamba,0830/1129,,27.0,95.0,BLG,21157.0,2020 - 2021 Bahar Dönemi
KON 424E,Mod.&Cntrl of Biological Sys.,Emre Dincel,Çarşamba,1230/1529,,59.0,95.0,EHB EHBE KOM KOME,22920.0,2021 - 2022 Bahar Dönemi
EHB 322,Sayısal Elektronik Devreleri,Metin Yazgı,Pazartesi,1230/1529,,91.0,95.0,BLG EHB ELE ELH,22618.0,2020 - 2021 Bahar Dönemi
BLG 374E,Tech. Communic.for Comp.Eng.,Esbie van Heerden,Cuma,1430/1629,,91.0,95.0,BLG BLGE,21564.0,2021 - 2022 Bahar Dönemi
KON 322,Endüstriyel Kumanda Sistemleri,Salman Kurtulan,Salı,1230/1529,,94.0,95.0,KOM MKN,21474.0,2020 - 2021 Bahar Dönemi
EHB 222,Elektroniğe Giriş,Hasan Bülent Yağcı,Pazartesi,0830/1129,EEB,95.0,95.0,ELE ELH ELK KOM MKN TEL,22982.0,2021 - 2022 Bahar Dönemi
BLG 231E,Digital Circuits,"Sanem Kabadayı, Ayşe Yılmazer",Cuma,0830/1129,EEB,92.0,95.0,BLG BLGE,11455.0,2021 - 2022 Güz Dönemi
BLG 231E,Digital Circuits,Feza Buzluca,Cuma,0830/1129,EEB,103.0,95.0,BLG BLGE,11454.0,2021 - 2022 Güz Dönemi
KON 214,Sistem Modelleme ve Simülasyon,Hakan Temeltaş,Pazartesi,1230/1529,EEB,90.0,95.0,KOM,22893.0,2021 - 2022 Bahar Dönemi
ISL 323E,Operations Research,Fuat Kosanoğlu,Perşembe,1430/1729,INB,108.0,95.0,ISL ISLE,13609.0,2021 - 2022 Güz Dönemi
MAT 271E,Probability and Statistics,Tayfun Akgül,Çarşamba,1230/1529,,85.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE EHN ELE ELH ELK ELKE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE SBP SBPE SEH TEK TEKE TEL UCK UCKE UZB UZBE,21531.0,2020 - 2021 Bahar Dönemi
MAT 271E,Probability and Statistics,"Hayrettin Güçlü İnsel, Alpaslan Ekdal",Cuma,1430/1729,INB,95.0,95,AIN BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE EHN ELE ELH ELK ELKE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE SBP SBPE SEH TEK TEKE TEL UCK UCKE UZB UZBE,21330.0,2021 - 2022 Bahar Dönemi
MAT 103E,Mathematics I,Burhaneddin İzgi,Perşembe Perşembe,0830/1129 1230/1429,EEB EEB,95.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20566.0,2018 - 2019 Bahar Dönemi
END 367E,Automation in Production Syst.,Esra Baş,Cuma,0830/1129,,97.0,95,END ENDE,13654.0,2021 - 2022 Güz Dönemi
MAT 103E,Mathematics I,Aybike Özer,Perşembe Perşembe,0830/1129 1230/1429,MED MED,95.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20562.0,2018 - 2019 Bahar Dönemi
MAT 202,Sayısal Yöntemler,Ali Yapar,Salı,1230/1529,,94.0,95,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET PET TEK TEL,21524.0,2020 - 2021 Bahar Dönemi
MAT 202E,Numerical Methods,Özgür Özdemir,Salı,1230/1529,,98.0,95,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UZB UZBE,21528.0,2020 - 2021 Bahar Dönemi
MAT 104,Matematik II,Güler Arsan,Çarşamba Perşembe,1130/1329 0830/1129,MED MED,95.0,95,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEFM JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20178.0,2019 - 2020 Bahar Dönemi
MAT 104,Matematik II,Rahmiye Ergün,Çarşamba Perşembe,1130/1329 0830/1129,MED MED,85.0,95,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEFM JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20180.0,2019 - 2020 Bahar Dönemi
MAT 104E,Mathematics II,Nurhan Çolakoğlu,Salı Çarşamba Perşembe Cuma,1300/1629 1300/1559 1230/1529 1400/1659,FEB FEB FEB FEB,87.0,95,BIO BIOE BLG BLGE CEN CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EEE EFN EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MMD MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM YZVE,30181.0,2021 - 2022 Yaz Dönemi
MAT 104E,Mathematics II,Nurhan Çolakoğlu,Salı Çarşamba Perşembe Cuma,0900/1159 0900/1159 0900/1129 0900/1259,FEB FEB FEB FEB,92.0,95,BIO BIOE BLG BLGE CEN CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EEE EFN EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MMD MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM YZVE,30179.0,2021 - 2022 Yaz Dönemi
MAT 103E,Mathematics I,Sultan Erdoğan Demir,Perşembe Perşembe,0830/1129 1230/1429,MED MED,95.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20560.0,2018 - 2019 Bahar Dönemi
MAT 210E,Engineering Mathematics,Ali Demirci,Pazartesi Pazartesi Salı,0900/1159 1300/1659 0900/1159,EEB EEB EEB,80.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME MAD MADE MATM MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM YZVE,30295.0,2021 - 2022 Yaz Dönemi
END 443E,Business Planning & Innovation,Sinan Küfeoğlu,Pazartesi,1130/1429,,79.0,95,END ENDE,14896.0,2020 - 2021 Güz Dönemi
END 312E,Engineering Economics,İrem Uçal Sarı,Pazartesi,1130/1429,EEB,91.0,95,END ENDE,22266.0,2019 - 2020 Bahar Dönemi
END 312E,Engineering Economics,İrem Uçal Sarı,Çarşamba,1230/1529,,95.0,95,END ENDE,23878.0,2020 - 2021 Bahar Dönemi
MAT 210,Mühendislik Matematiği,Nurettin Cenk Turgay,Perşembe Cuma,0830/1029 1430/1629,EEB EEB,97.0,95,BIO BLG CEV CHZ EHB ELE ELH ELK END FIZ GEO INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,10465.0,2019 - 2020 Güz Dönemi
MAT 103E,Mathematics I,Cem Sayar,Salı Çarşamba Perşembe Cuma,0900/1229 0900/1159 0900/1159 0900/1159,,80.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30312.0,2019 - 2020 Yaz Dönemi
MAT 103,Matematik I,Sezgin Altay Demirbağ,Pazartesi Salı Çarşamba,0900/1329 0900/1259 0900/1259,,52.0,95,BIO CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML INS ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MSF MTO PET PETM TEK UCK UCKM UZB UZBM,30306.0,2019 - 2020 Yaz Dönemi
MAT 103E,Mathematics I,Hülya Kadıoğlu,Perşembe Perşembe Cuma,0900/1259 1400/1759 0900/1329,,96.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30310.0,2019 - 2020 Yaz Dönemi
MAT 103E,Mathematics I,Cem Sayar,Salı Çarşamba Perşembe Cuma,1400/1729 1500/1759 1500/1759 1500/1759,,70.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30313.0,2019 - 2020 Yaz Dönemi
MAT 103,Matematik I,Füsun Zengin,Salı Çarşamba Cuma,1400/1759 1400/1759 0900/1329,,56.0,95,BIO CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML INS ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MSF MTO PET PETM TEK UCK UCKM UZB UZBM,30305.0,2019 - 2020 Yaz Dönemi
FIZ 102E,Physics II,Mehmet Özkan,Perşembe,1430/1729,,78.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE EHB EHBE ELK ELKE END ENDE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM YZVE,10503.0,2021 - 2022 Güz Dönemi
